BFV122,BHV1,BHV101,BHV108,BHV2,BHV208,BHV22,BHV3,BHV308,BHV311,BHV313,BHV314,BHV315,BHV40,BHV6,BLV459,BLV614,BLV615,BPORV,BPRZSP,BPSV10,BPSV5,BV101,BV102,BV201,BV202,BV301,BV302,CQHB,CQHR,DSECON,FAFWP1,FAFWP2,FAFWP3,KAFWP1,KAFWP2,KAFWP3,KBCDO23,KBHON,KCHRGP1,KCHRGP2,KCHRGP3,KCHV22,KCISOA,KCISOB,KCLV615,KCSAS,KCTMTSP,KEA37R,KELC1R,KFWP1,KFWP2,KFWP3,KLAMPO121,KLAMPO122,KLAMPO123,KLAMPO124,KLAMPO125,KLAMPO126,KLAMPO132,KLAMPO189,KLAMPO2,KLAMPO4,KLAMPO47,KLAMPO48,KLAMPO49,KLAMPO50,KMANRX,KMSISO,KOHV22,KOLV615,KPBHM,KRXTRIP,KSWO100,KSWO120,KSWO121,KSWO122,KSWO125,KSWO128,KSWO202,KSWO205,KSWO206,KSWO207,KSWO220,KSWO241,KSWO243,KSWO246,KSWO249,KSWO251,KSWO252,KSWO253,KSWO8,KSWO9,KZBANK1,KZBANK2,KZBANK3,KZBANK4,KZBANK5,KZBANK6,KZBANK7,KZBANK8,QPROREL,QPRZB,QPRZP,UAVLEG1,UAVLEG2,UAVLEG3,UAVLEGM,UCOLEG1,UCOLEG2,UCOLEG3,UHOLEG1,UHOLEG2,UHOLEG3,WACCA,WACCB,WAUXSP,WHV22,WPRZSV,WSPRAY,WSPRCS1,WSPRCS2,WSTM1,WSTM2,WSTM3,ZINST101,ZINST22,ZINST25,ZINST26,ZINST42,ZINST56,ZINST57,ZINST58,ZINST62,ZINST65,ZINST66,ZINST70,ZINST71,ZINST72,ZINST73,ZINST74,ZINST75,ZINST76,ZINST77,ZINST78,ZINST89,ZINST91,ZINST92,ZINST93,ZINST94,ZINST95,ZINST96,ZINST99,ZPRZ,ZREAC,ZSGIN1,ZSGIN2,ZSGIN3,ZSGW1,ZSGW2,ZSGW3,FSRMDPM,USUBMA,ZINST1,ZINST17,ZINST2,ZINST3,ZINST46,,
0.58,1,0,1,1,1,0,0,1,0.96,1,1,1,0,1,1,1,0,0,0.15,0,0,0,0,0,0,0,0,1000000,400000,0,1,1,1,0,0,0,100,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,228,228,228,221,228,228,228,228,1,0,0,307.67,308.21,308.21,308.03,289.82,290.89,290.89,325.53,325.53,325.53,0,0,0,0,0,3.09,2.34,2.37,452.95,452.78,455.37,85.18,2.08,34.61,0.25,44.9,0.56,55.42,159.64,343.22,159.64,11.12,89.18,89.18,89.18,64.36,64.36,64.36,49.99,49.99,49.99,0,0.52,0.68,0.44,0.72,0.52,0.68,63.9,5.61,6.46,39,40,42,12.82,12.82,12.82,0,18.25,100.09,0,-3.35,0,325.52,0:00:02,#
0.58,1,0,1,1,1,0,0,1,0.96,1,1,1,0,1,1,0.99,0,0,0.28,0,0,0,0,0,0,0,0,1000000,400000,0,1,1,1,0,0,0,100,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,228,228,228,221,228,228,228,228,1,0,0,307.48,308.2,308.2,307.96,289.46,290.89,290.89,325.51,325.51,325.51,0,0,0,0,0,8.78,4.4,4.56,451.56,453.32,456.02,85.18,2.08,34.61,0.25,44.9,0.99,55.23,159.9,343.19,159.9,31.6,89.18,89.18,89.17,64.36,64.36,64.36,50,50,49.98,0,0.52,0.68,0.44,0.72,0.52,0.68,63.9,5.62,6.46,39,40,42,12.82,12.82,12.82,0,18.36,100.04,0,-3.35,0,325.49,0:00:03,#
0.58,1,0,1,1,1,0,0,1,0.96,1,1,1,0,1,1,0.99,0,0,0.3,0,0,0,0,0,0,0,0,1000000,400000,0,1,1,1,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,228,228,228,221,228,228,228,228,1,0,0,307.46,308.21,308.21,307.96,289.39,290.89,290.89,325.53,325.53,325.53,0,0,0,0,0,9.34,4.6,4.8,450.2,453.94,456.59,85.17,2.08,34.61,0.25,44.9,1.06,55.21,159.94,343.17,159.94,33.62,89.19,89.19,89.17,64.35,64.35,64.35,50.01,50.01,49.96,0,0.52,0.68,0.44,0.72,0.52,0.68,63.89,5.63,6.46,39,40,42,12.82,12.83,12.83,0,18.27,99.9,0,-3.35,0,325.55,0:00:04,#
0.58,1,0,1,1,1,0,0,1,0.96,1,1,1,0,1,1,0.98,0,0,0.3,0,0,0,0,0,0,0,0,1000000,400000,0,1,1,1,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,228,228,228,221,228,228,228,228,1,0,0,307.46,308.24,308.23,307.98,289.35,290.89,290.89,325.57,325.58,325.57,0,0,0,0,0,9.42,4.6,4.8,449.1,454.5,457.02,85.16,2.08,34.61,0.25,44.9,1.06,55.24,159.94,343.15,159.94,33.9,89.19,89.19,89.16,64.34,64.34,64.33,50.03,50.03,49.93,0,0.52,0.68,0.43,0.72,0.52,0.68,63.88,5.63,6.46,39,40,42,12.82,12.83,12.83,0,18.24,99.78,0,-3.35,0,325.6,0:00:05,#
0.57,1,0,1,1,1,0,0,1,0.96,1,1,1,0,1,1,0.98,0,0,0.29,0,0,0,0,0,0,0,0,1000000,400000,0,1,1,1,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,228,228,228,221,228,228,228,228,1,0,0,307.46,308.25,308.25,307.99,289.32,290.89,290.89,325.6,325.62,325.6,0,0,0,0,0,9.23,4.49,4.68,448.55,454.82,457.21,85.15,2.08,34.61,0.25,44.9,1.05,55.27,159.91,343.13,159.91,33.24,89.2,89.2,89.15,64.33,64.33,64.33,50.04,50.04,49.91,0,0.52,0.68,0.43,0.72,0.52,0.68,63.87,5.63,6.46,39,40,42,12.82,12.83,12.83,0,18.23,99.75,0,-3.35,0,325.62,0:00:06,#
0.57,1,0,1,1,1,0,0,1,0.96,1,1,1,0,1,1,0.97,0,0,0.28,0,0,0,0,0,0,0,0,1000000,400000,0,1,1,1,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,228,228,228,221,228,228,228,228,1,0,0,307.45,308.26,308.25,307.99,289.29,290.89,290.89,325.61,325.64,325.61,0,0,0,0,0,8.87,4.29,4.48,448.21,455.02,457.31,85.15,2.08,34.61,0.25,44.9,1.05,55.28,159.86,343.11,159.86,31.93,89.2,89.2,89.16,64.33,64.33,64.32,50.05,50.05,49.91,0,0.52,0.68,0.43,0.72,0.52,0.68,63.87,5.63,6.46,39,40,42,12.82,12.83,12.83,0,18.22,99.74,0,-3.35,0,325.62,0:00:07,#
0.57,1,0,1,1,1,0,0,1,0.96,1,1,1,0,1,1,0.97,0,0,0.26,0,0,0,0,0,0,0,0,1000000,400000,0,1,1,1,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,228,228,228,221,228,228,228,228,1,0,0,307.44,308.27,308.26,307.99,289.26,290.89,290.89,325.62,325.65,325.62,0,0,0,0,0,8.27,3.99,4.17,447.92,455.18,457.36,85.14,2.08,34.61,0.25,44.9,1.05,55.28,159.79,343.09,159.79,29.79,89.2,89.21,89.16,64.33,64.33,64.32,50.06,50.06,49.92,0,0.52,0.68,0.43,0.72,0.52,0.68,63.86,5.63,6.46,39,40,42,12.82,12.83,12.83,0,18.19,99.77,0,-3.35,0,325.62,0:00:08,#
0.57,1,0,1,1,1,0,0,1,0.96,1,1,1,0,1,1,0.97,0,0,0.24,0,0,0,0,0,0,0,0,1000000,400000,0,1,1,1,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,228,228,228,220,228,228,228,228,1,0,0,307.43,308.27,308.25,307.99,289.25,290.9,290.89,325.61,325.65,325.61,0,0,0,0,0,7.73,3.73,3.89,447.76,455.27,457.38,85.13,2.08,34.61,0.25,44.9,1.05,55.27,159.73,343.08,159.73,27.83,89.2,89.21,89.17,64.33,64.33,64.32,50.06,50.07,49.93,0,0.52,0.68,0.43,0.72,0.52,0.68,63.86,5.63,6.46,39,40,42,12.82,12.83,12.83,0,18.17,99.77,0,-3.35,0,325.61,0:00:09,#
0.57,1,0,1,1,1,0,0,1,0.96,1,1,1,0,1,1,0.96,0,0,0.22,0,0,0,0,0,0,0,0,1000000,400000,0,1,1,1,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,228,228,228,220,228,228,228,228,1,0,0,307.43,308.27,308.25,307.98,289.24,290.9,290.9,325.61,325.64,325.61,0,0,0,0,0,7.18,3.46,3.62,447.64,455.31,457.38,85.13,2.08,34.61,0.25,44.9,1.06,55.27,159.67,343.06,159.67,25.85,89.2,89.2,89.18,64.33,64.33,64.32,50.06,50.07,49.94,0,0.52,0.68,0.43,0.72,0.52,0.68,63.86,5.63,6.46,39,40,42,12.82,12.83,12.83,0,18.15,99.79,0,-3.35,0,325.61,0:00:10,#
0.57,1,0,1,1,1,0,0,1,0.96,1,1,1,0,1,1,0.96,0,0,0.2,0,0,0,0,0,0,0,0,1000000,400000,0,1,1,1,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,228,228,228,220,228,228,228,228,1,0,0,307.42,308.27,308.25,307.98,289.24,290.9,290.9,325.6,325.63,325.6,0,0,0,0,0,6.56,3.16,3.3,447.55,455.33,457.39,85.12,2.08,34.61,0.25,44.9,1.06,55.26,159.6,343.05,159.6,23.61,89.2,89.2,89.2,64.33,64.33,64.32,50.05,50.06,49.96,0,0.52,0.68,0.43,0.72,0.52,0.68,63.86,5.63,6.46,39,40,42,12.83,12.83,12.83,0,18.12,99.8,0,-3.35,0,325.6,0:00:11,#
